index,img_name,condition,img_1,img_2,img_3,txt_1,txt_2,txt_3,trialType
0,Ballerina,YY,stimuli/YY_ballerina_img1.png,stimuli/YY_ballerina_img2.png,stimuli/ballerina_img3.png,BALLERINA,BALLERINA,BALLERINA,practice
0,Castle,NN,stimuli/NN_castle_img1.png,stimuli/NN_castle_img2.png,stimuli/castle_img3.png,BALL,BALL,CASTLE,practice
0,Astronaut,YN,stimuli/YN_astronaut_img1.png,stimuli/YN_astronaut_img2.png,stimuli/astronaut_img3.png,JAR,JAR,ASTRONAUT,practice
0,Guitar,NN,stimuli/NN_guitar_img1.png,stimuli/NN_guitar_img2.png,stimuli/guitar_img3.png,STAR,STAR,GUITAR,practice
0.5,Church,NY,stimuli/NY_church_img1.png,stimuli/NY_church_img2.png,stimuli/church_img3.png,CHURCH,CHURCH,CHURCH,practice
0.5,Saw,YN,stimuli/YN_saw_img1.png,stimuli/YN_saw_img2.png,stimuli/saw_img3.png,FLAG,FLAG,SAW,practice
0.5,Milk Carton,YY,stimuli/YY_milk carton_img1.png,stimuli/YY_milk carton_img2.png,stimuli/milk carton_img3.png,MILK CARTON,MILK CARTON,MILK CARTON,practice
0.5,Clown,NY,stimuli/NY_clown_img1.png,stimuli/NY_clown_img2.png,stimuli/clown_img3.png,CLOWN,CLOWN,CLOWN,practice
